event_name,date,time,venue,city,state,latitude,longitude,category,url,source
"Wizards v Heat (City Edition T-Shirt - First 15,000 Fans)",2026-04-10,19:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.ticketmaster.com/wizards-v-heat-city-edition-tshirt-washington-district-of-columbia-04-10-2026/event/1500630DF9A45C80,ticketmaster
"Wizards v 76ers (G-Wiz Fuzzy Friend - First 10,000 Fans)",2026-04-01,19:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.ticketmaster.com/wizards-v-76ers-gwiz-fuzzy-friend-washington-district-of-columbia-04-01-2026/event/1500630DF99D5C6F,ticketmaster
Wizards VIP Packages: 4/1/2026,2026-04-01,19:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.gofevo.com/event/Wizards25220250918-152826036,ticketmaster
Wizards VIP Packages: 4/7/2026,2026-04-07,19:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.gofevo.com/event/Wizards25220250918-152826037,ticketmaster
Wizards VIP Packages: 4/9/2026,2026-04-09,19:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.gofevo.com/event/Wizards25220250918-152826038,ticketmaster
Wizards VIP Packages: 4/10/2026,2026-04-10,19:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.gofevo.com/event/Wizards25220250918-152826039,ticketmaster
Wizards v Bulls,2026-04-07,19:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.ticketmaster.com/wizards-v-bulls-washington-district-of-columbia-04-07-2026/event/1500630DF99F5C7A,ticketmaster
Wizards v Bulls,2026-04-09,19:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.ticketmaster.com/wizards-v-bulls-washington-district-of-columbia-04-09-2026/event/1500630DF9A25C7C,ticketmaster
Capitals vs Penguins (Fan Appreciation - Poster Giveaway),2026-04-12,15:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.ticketmaster.com/capitals-vs-penguins-fan-appreciation-poster-washington-district-of-columbia-04-12-2026/event/150062F0F372614B,ticketmaster
Capitals vs Sabres,2026-04-04,19:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.ticketmaster.com/capitals-vs-sabres-washington-district-of-columbia-04-04-2026/event/150062F0F3706142,ticketmaster
Washington Capitals VIP Tickets: 04/04/26,2026-04-04,19:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.gofevo.com/event/Capitals25220260109-1415010214,ticketmaster
Washington Capitals VIP Tickets: 04/12/26,2026-04-12,15:00:00,Capital One Arena,Washington,DC,38.897412,-77.020029,Sports,https://www.gofevo.com/event/Capitals25220260109-1415010215,ticketmaster
Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,18:45:00,Nationals Park,Washington,DC,38.882,-76.9925,Sports,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8Po,ticketmaster
Washington Nationals vs. New York Yankees,2026-07-11,16:05:00,Nationals Park,Washington,DC,38.882,-76.9925,Sports,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8PK,ticketmaster
Washington Nationals vs. New York Yankees,2026-07-12,13:35:00,Nationals Park,Washington,DC,38.882,-76.9925,Sports,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8Pf,ticketmaster
Washington Nationals vs Los Angeles Dodgers: Nationals Home Opener,2026-04-03,13:05:00,Nationals Park,Washington,DC,38.882,-76.9925,Sports,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8-z,ticketmaster
Washington Nationals vs. Los Angeles Dodgers,2026-04-04,16:05:00,Nationals Park,Washington,DC,38.882,-76.9925,Sports,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8xZ,ticketmaster
