id,latitude,longitude,price,bedrooms,accommodates,room_type,neighbourhood_cleansed,review_scores_rating,minimum_nights,nearest_event,event_date,event_category,distance_to_event_km,temp_avg_c,precipitation_mm,is_outdoor_season,is_peak_summer
3344,38.90145,-77.02679,150.0,1.0,2,Entire home/apt,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",5.0,59,The James Hunter Six,2026-04-19,Music,0.5098008106939286,14.8,82.0,1.0,0.0
3686,38.86339,-76.98889,61.0,1.0,1,Private room,Historic Anacostia,4.65,31,Washington Mystics vs. New York Liberty,2026-05-10,Sports,1.8513453101056248,19.9,104.0,1.0,0.0
3943,38.91195,-77.00456,75.0,1.0,2,Private room,"Edgewood, Bloomingdale, Truxton Circle, Eckington",4.86,1,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,Music,1.4785834217021583,14.8,82.0,1.0,0.0
4197,38.88719,-76.99472,90.0,1.0,1,Private room,"Capitol Hill, Lincoln Park",4.88,4,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,Sports,0.6082509015486655,27.1,94.0,1.0,1.0
4529,38.90585,-76.94469,65.0,1.0,2,Private room,"Eastland Gardens, Kenilworth",4.65,30,Diplo,2026-05-22,Music,2.8888755329805993,19.9,104.0,1.0,0.0
5589,38.91887,-77.04008,,1.0,3,Entire home/apt,"Kalorama Heights, Adams Morgan, Lanier Heights",4.5,60,Men At Work,2026-09-20,Music,0.9731002484365259,22.1,90.0,1.0,0.0
11785,38.92622,-77.07591,91.0,1.0,4,Entire home/apt,"Cathedral Heights, McLean Gardens, Glover Park",4.59,31,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,1.2851166293046925,9.7,85.0,0.0,0.0
12442,38.92756,-77.07667,52.0,1.0,2,Private room,"Cathedral Heights, McLean Gardens, Glover Park",4.63,31,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,1.4304573112492411,9.7,85.0,0.0,0.0
13744,38.92836,-77.03136,100.0,1.0,2,Entire home/apt,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",4.84,30,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,1.20447153196281,19.9,104.0,1.0,0.0
14218,38.92668,-77.07686,52.0,1.0,2,Private room,"Cathedral Heights, McLean Gardens, Glover Park",4.62,31,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,1.3322810886230088,9.7,85.0,0.0,0.0
17131,38.92644,-77.07646,52.0,1.0,2,Private room,"Cathedral Heights, McLean Gardens, Glover Park",4.66,31,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,Sports,1.306613090579823,9.7,85.0,0.0,0.0
27682,38.9665,-77.00645,70.0,1.0,1,Entire home/apt,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5.0,90,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,Sports,5.074161104575694,19.9,104.0,1.0,0.0
32087,38.91766,-77.04598,134.0,1.0,1,Private room,"Kalorama Heights, Adams Morgan, Lanier Heights",4.87,1,Men At Work,2026-09-20,Music,1.4700066087651025,22.1,90.0,1.0,0.0
