id,baseline_price,recommended_price,price_uplift,action,nearest_event,event_date,distance_to_event_km,event_category
3344,150.0,158.93856704289695,8.938567042896949,RAISE,The James Hunter Six,2026-04-19,0.5098008106939286,Music
3686,61.0,42.699999999999996,-18.300000000000004,DISCOUNT,Washington Mystics vs. New York Liberty,2026-05-10,1.8513453101056248,Sports
3943,75.0,97.5,22.5,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,1.4785834217021585,Music
4197,90.0,62.99999999999999,-27.000000000000007,DISCOUNT,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,2026-07-10,0.6082509015486655,Sports
4529,65.0,51.32589418945733,-13.67410581054267,DISCOUNT,Diplo,2026-05-22,2.8888755329805997,Music
11785,91.0,118.3,27.299999999999997,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,1.2851166293046925,Sports
12442,52.0,67.60000000000001,15.600000000000009,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,1.4304573112492411,Sports
13744,100.0,86.55709826639358,-13.44290173360642,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.20447153196281,Sports
14218,52.0,67.60000000000001,15.600000000000009,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,1.3322810886230088,Sports
17131,52.0,67.60000000000001,15.600000000000009,RAISE,Georgetown Hoyas Football vs. Holy Cross Crusaders Football,2026-11-07,1.306613090579823,Sports
27682,70.0,54.35183682386722,-15.648163176132783,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,5.074161104575694,Sports
32087,134.0,93.8,-40.2,DISCOUNT,Men At Work,2026-09-20,1.4700066087651025,Music
62122,84.0,109.2,25.200000000000003,RAISE,Men At Work,2026-09-20,1.6607417972140757,Music
67483,77.0,81.00787139819175,4.007871398191753,RAISE,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,1.6326027310696258,Sports
93551,65.0,84.5,19.5,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.2296282538529074,Music
116951,58.0,75.4,17.400000000000006,RAISE,Juvenile’s Boiling Point Album Release Tour w/ The 400 Degreez Band,2026-04-17,0.2798751353826956,Music
153545,48.0,35.0,-13.0,DISCOUNT,Howard University Bison Football vs. Richmond Spiders Football,2026-05-17,3.1145753889633427,Sports
